Track name,Artist name,Album,Playlist name,Type,ISRC
Let Me Dream a While,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQ17000037
"always, i'll care",Jeremy Zucker,love is not dying,Favorite Songs,Favorite,USUM72001551
Mr. Tambourine Man,Bob Dylan,Bringing It All Back Home,Favorite Songs,Favorite,USSM19922515
Blame It on Me,George Ezra,Wanted on Voyage (Expanded Edition),Favorite Songs,Favorite,GBARL1400476
Theme from Blinking Lights,Eels,Blinking Lights and Other Revelations,Favorite Songs,Favorite,USVR90540601
Grey Lynn Park,The Veils,Troubles of the Brain - EP,Favorite Songs,Favorite,GBQ5P1000005
Love Doesn't Last Too Long,The Weepies,Say I Am You,Favorite Songs,Favorite,CAN110501056
Dancing in the Moonlight (Its Caught Me in Its Spotlight) - Recorded at Spotify Studios NYC,alt-J,Spotify Singles,Favorite Songs,Favorite,GB5KW1702265
Every Teardrop Is a Waterfall,Coldplay,Mylo Xyloto,Favorite Songs,Favorite,GBAYE1101193
Heroes (we could be),Alesso,Forever (Deluxe),Favorite Songs,Favorite,USUM71411636
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),Favorite Songs,Favorite,USEE11100768
Roses (feat. ROZES),The Chainsmokers,The Chainsmokers- Japan Special Edition,Favorite Songs,Favorite,USQX91500801
Counting Stars,OneRepublic,Native,Favorite Songs,Favorite,USUM71301306
Thinking out Loud,Ed Sheeran,x (Wembley Edition),Favorite Songs,Favorite,GBAHS1400099
The Days,Avicii,The Days / Nights,Favorite Songs,Favorite,CH3131340471
Youth,Daughter,If You Leave,Favorite Songs,Favorite,USYAH1300029
Yeh Pal,Prateek Kuhad,Raat Raazi,Favorite Songs,Favorite,INO131300070
No Lie,Sean Paul,Mad Love The Prequel,Favorite Songs,Favorite,GBUM71604557
Rather Be (feat. Jess Glynne),Clean Bandit,New Eyes,Favorite Songs,Favorite,GBAHS1300498
Stay With Me,Sam Smith,In The Lonely Hour (Japanese Edition),Favorite Songs,Favorite,GBUM71308833
Holding On,Prateek Kuhad,In Tokens & Charms,Favorite Songs,Favorite,usx9p1400902
Wake Me Up,Avicii,True,Favorite Songs,Favorite,SEUM71301326
Oh Love,Prateek Kuhad,In Tokens & Charms,Favorite Songs,Favorite,usx9p1400901
Lay Me Down,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),Favorite Songs,Favorite,GBUM71500850
What Is Love,Dhruv Kapoor,What Is Love,Favorite Songs,Favorite,QZK6F2044653
Baarishein,Anuv Jain,Baarishein,Favorite Songs,Favorite,TCADK1712757
Alag Aasmaan,Anuv Jain,Alag Aasmaan,Favorite Songs,Favorite,TCAEZ2083117
All My Tears,Ane Brun,Rarities,Favorite Songs,Favorite,SEVVQ1300303
To Bring You My Love,PJ Harvey,To Bring You My Love,Favorite Songs,Favorite,GBAAN9500033
Toxic,AP Dhillon,Toxic,Favorite Songs,Favorite,QZMEN2023463
Takeover,AP Dhillon,Not by Chance,Favorite Songs,Favorite,QZNWU2031534
Foreigns,AP Dhillon,Foreigns,Favorite Songs,Favorite,QZNWU2031537
Tu Aake Dekhle,King,The Carnival,Favorite Songs,Favorite,FRX762050882
Blinding Lights,The Weeknd,After Hours,Favorite Songs,Favorite,USUG11904206
Riha,Anuv Jain,Riha,Favorite Songs,Favorite,TCAEI1938061
Home,Edith Whiskers,Stop Stealing The Covers!,Favorite Songs,Favorite,GBVHN2000009
I'll be With You,Johnny Lloyd,Raw Acoustic,Favorite Songs,Favorite,GBFPN1848104
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],Favorite Songs,Favorite,USRC11702155
Stayin' Alive,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),Favorite Songs,Favorite,GBA077700130
Kahin To,Rashid Ali,Jaane Tu... Ya Jaane Na,Favorite Songs,Favorite,INS180804914
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,No.6 Collaborations Project,Favorite Songs,Favorite,GBAHS1900672
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Loveholic Arijit Singh,Favorite Songs,Favorite,INS181501796
Blame (feat. John Newman),Calvin Harris,Motion,Favorite Songs,Favorite,GBARL1400567
Jealous,Labrinth,Jealous,Favorite Songs,Favorite,GBHMU1400291
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,Favorite Songs,Favorite,USAT21207280
State Of The Art (A.E.I.O.U.),Jim James,Regions of Light and Sound of God,Favorite Songs,Favorite,GBUM71207332
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV119800029
Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na,Favorite Songs,Favorite,INS180804909
Pran,Ritviz,Pran,Favorite Songs,Favorite,TCAFL2176915
Levels - Radio Edit,Avicii,Levels,Favorite Songs,Favorite,SEUM71100962
Everglow,Coldplay,A Head Full of Dreams,Favorite Songs,Favorite,GBAYE1500980
Happier,Ed Sheeran,÷ (Deluxe),Favorite Songs,Favorite,GBAHS1700028
Paradise,Coldplay,Mylo Xyloto,Favorite Songs,Favorite,GBAYE1101143
Demons,Imagine Dragons,Night Visions,Favorite Songs,Favorite,USUM71201071
Believer,Imagine Dragons,Evolve,Favorite Songs,Favorite,USUM71700626
Thunder,Imagine Dragons,Evolve,Favorite Songs,Favorite,USUM71704167
Radioactive,Imagine Dragons,Night Visions,Favorite Songs,Favorite,USUM71201074
